timestamp,open,high,low,close,volume
1672547580,16519.89000000,16521.47000000,16518.39000000,16521.35000000,70.82720000
1672547640,16520.91000000,16523.00000000,16520.28000000,16522.66000000,64.73221000
1672547700,16522.66000000,16525.09000000,16521.81000000,16523.40000000,71.60037000
1672547760,16523.78000000,16524.00000000,16521.60000000,16522.19000000,36.40723000
1672547820,16522.19000000,16524.86000000,16522.00000000,16523.98000000,51.64977000
1672547880,16523.98000000,16525.37000000,16523.12000000,16524.73000000,44.25191000
1672547940,16524.13000000,16525.95000000,16522.53000000,16525.58000000,76.11857000
1672548000,16525.58000000,16525.60000000,16522.03000000,16523.89000000,61.26648000
1672548060,16523.89000000,16524.99000000,16523.18000000,16523.28000000,34.98799000
1672548120,16523.28000000,16523.66000000,16521.96000000,16523.05000000,36.49991000
1672548180,16523.05000000,16524.43000000,16522.39000000,16522.95000000,42.83804000
1672548240,16522.56000000,16524.42000000,16518.62000000,16519.47000000,106.87972000
1672548300,16519.96000000,16520.51000000,16518.14000000,16520.03000000,58.09830000
1672548360,16520.03000000,16520.28000000,16518.03000000,16518.64000000,45.96932000
1672548420,16518.26000000,16519.28000000,16517.25000000,16518.44000000,72.50191000
1672548480,16518.02000000,16519.62000000,16517.50000000,16518.26000000,58.63821000
1672548540,16518.26000000,16519.53000000,16516.81000000,16517.43000000,61.28762000
1672548600,16517.43000000,16526.04000000,16516.76000000,16523.53000000,161.05717000
1672548660,16523.05000000,16526.99000000,16523.05000000,16525.96000000,101.35692000
1672548720,16525.96000000,16526.14000000,16517.76000000,16518.44000000,72.84266000
1672548780,16518.44000000,16520.13000000,16517.62000000,16519.18000000,52.90917000
1672548840,16519.53000000,16521.88000000,16518.84000000,16521.09000000,77.00199000
1672548900,16521.09000000,16522.19000000,16519.90000000,16521.93000000,56.24080000
1672548960,16521.42000000,16521.93000000,16516.49000000,16518.76000000,83.64312000
1672549020,16518.76000000,16519.22000000,16517.03000000,16517.41000000,48.86392000
1672549080,16517.39000000,16520.64000000,16517.28000000,16519.37000000,61.07865000
1672549140,16519.37000000,16522.81000000,16511.92000000,16521.85000000,173.39683000
1672549200,16522.22000000,16522.22000000,16520.09000000,16521.38000000,51.91564000
1672549260,16521.32000000,16522.41000000,16520.75000000,16521.48000000,38.43067000
1672549320,16521.48000000,16523.82000000,16521.17000000,16522.61000000,57.90999000
1672549380,16522.09000000,16523.95000000,16521.33000000,16522.58000000,70.68278000
1672549440,16523.06000000,16523.68000000,16520.84000000,16523.67000000,35.99933000
1672549500,16523.68000000,16524.00000000,16521.90000000,16522.62000000,44.93256000
1672549560,16522.62000000,16523.94000000,16522.00000000,16522.18000000,56.87972000
1672549620,16522.62000000,16523.33000000,16520.76000000,16520.79000000,46.39417000
1672549680,16521.27000000,16522.26000000,16518.92000000,16519.80000000,50.34919000
1672549740,16519.54000000,16524.00000000,16513.84000000,16514.99000000,170.33196000
1672549800,16515.28000000,16517.01000000,16513.67000000,16514.37000000,76.38002000
1672549860,16514.38000000,16516.47000000,16512.30000000,16514.24000000,92.17546000
1672549920,16514.24000000,16516.65000000,16513.20000000,16515.62000000,136.54526000
1672549980,16515.37000000,16519.70000000,16514.33000000,16518.38000000,77.98410000
1672550040,16518.19000000,16519.66000000,16518.03000000,16518.37000000,19.55975000
1672550100,16518.77000000,16519.84000000,16518.15000000,16519.00000000,40.02786000
1672550160,16518.57000000,16521.18000000,16517.29000000,16519.67000000,94.90446000
1672550220,16519.67000000,16521.69000000,16518.57000000,16521.10000000,69.13403000
1672550280,16520.71000000,16521.10000000,16518.03000000,16519.18000000,42.16228000
1672550340,16519.18000000,16520.14000000,16516.85000000,16517.59000000,82.52013000
1672550400,16517.90000000,16519.00000000,16516.92000000,16517.60000000,49.42764000
1672550460,16517.60000000,16518.50000000,16516.81000000,16517.90000000,44.01385000
1672550520,16517.50000000,16517.95000000,16514.19000000,16514.97000000,98.49720000
1672550580,16514.63000000,16515.16000000,16512.31000000,16513.26000000,105.80226000
1672550640,16513.72000000,16518.09000000,16512.31000000,16516.82000000,79.21072000
1672550700,16516.82000000,16518.50000000,16515.34000000,16517.40000000,62.01438000
1672550760,16516.85000000,16519.13000000,16516.05000000,16516.84000000,68.63085000
1672550820,16516.84000000,16519.50000000,16516.18000000,16518.37000000,45.73637000
1672550880,16518.77000000,16519.95000000,16517.68000000,16519.09000000,39.88809000
1672550940,16519.09000000,16522.66000000,16517.63000000,16521.07000000,100.14396000
1672551000,16521.42000000,16522.75000000,16520.33000000,16521.70000000,54.90576000
1672551060,16522.01000000,16522.01000000,16517.53000000,16518.37000000,44.55061000
1672551120,16518.37000000,16519.39000000,16517.57000000,16518.24000000,25.19985000
1672551180,16518.24000000,16518.84000000,16516.59000000,16517.85000000,23.44763000
1672551240,16517.46000000,16520.98000000,16517.00000000,16520.15000000,45.44267000
1672551300,16519.66000000,16520.81000000,16518.47000000,16520.49000000,43.73022000
1672551360,16520.49000000,16521.42000000,16519.85000000,16521.00000000,25.26778000
